"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"3V3","TP_A_-_RED","2674mil","2601mil","2674mil","2601mil","2674mil","2601mil","T","0.00","Test Point"
"GND","TP_A_-_BLK","2504mil","2597mil","2504mil","2597mil","2504mil","2597mil","T","0.00","Test Point"
"GND","TP_A_-_BLK","490mil","2732mil","490mil","2732mil","490mil","2732mil","T","0.00","Test Point"
"R12","RESC0603-01","2446mil","2378mil","2446mil","2378mil","2446mil","2409.496mil","B","270.00","4K7"
"J3","HDR2X7","2383mil","1747mil","2433mil","1447mil","2433mil","1447mil","T","90.00","2.54mm 2*7"
"J11","USB_DIP_MALE_-_DUPLICATE","3176.811mil","1799mil","3240mil","1799mil","3110.079mil","1747.819mil","T","270.00","UBAF-0608"
"C6","CAPC0603-01","940mil","1385mil","940mil","1385mil","908.504mil","1385mil","T","0.00","CAP-R01002-01"
"C7","CAPC0603-01","1898mil","1210mil","1898mil","1210mil","1898mil","1241.496mil","T","270.00","CAP-R01002-01"
"C8","CAPC0603-01","2335mil","1302mil","2335mil","1302mil","2303.504mil","1302mil","T","0.00","CAP-R01002-01"
"C21","CAPC0603-01","1923mil","1994.401mil","1923mil","1994.401mil","1923mil","1962.905mil","T","90.00","15pF"
"C22","CAPC0603-01","1923mil","2117.401mil","1923mil","2117.401mil","1923mil","2148.897mil","T","270.00","15pF"
"C23","CAPC0603-01","1840mil","1768.401mil","1840mil","1768.401mil","1840mil","1736.905mil","T","90.00","27pF"
"C24","CAPC0603-01","1840mil","1890.401mil","1840mil","1890.401mil","1840mil","1921.897mil","T","270.00","27pF"
"D1","SOT-143B","2986mil","1786.401mil","2986mil","1786.401mil","3015.528mil","1825.771mil","T","180.00","AP2151WG-7"
"J8","FCI_6800-X03","1170mil","2418.74mil","1170mil","2418.74mil","1070mil","2418.74mil","T","0.00","2.54mm 1x3"
"J9","FCI_6800-X03","2865mil","2453.74mil","2865mil","2453.74mil","2865mil","2553.74mil","T","270.00","2.54mm 1x3"
"J14","FCI_77311-818-10LF","1180.315mil","2780.708mil","1180.315mil","2780.708mil","1630.315mil","2780.708mil","T","180.00","2.54mm 1x10"
"J17","JC-6PIN-1.27_-_DUPLICATE","2380mil","2282.401mil","2380mil","2282.401mil","2380mil","2157.401mil","T","180.00","TC-2030"
"R4","RESC0603-01","2855mil","1193.74mil","2855mil","1193.74mil","2855mil","1225.236mil","T","270.00","1K5"
"R6","RESC0603-01","530mil","1530mil","530mil","1530mil","530mil","1561.496mil","T","270.00","47K"
"R11","RESC0603-01","1270mil","2290mil","1270mil","2290mil","1270mil","2258.504mil","T","90.00","1K5"
"R13","RESC0603-01","2677mil","2156.401mil","2677mil","2156.401mil","2677mil","2187.897mil","T","270.00","4K7"
"R14","RESC0603-01","2547mil","1931.401mil","2547mil","1931.401mil","2547mil","1899.905mil","T","90.00","150R"
"R15","RESC0603-01","2547mil","1681.401mil","2547mil","1681.401mil","2547mil","1649.905mil","T","90.00","150R"
"R16","RESC0603-01","2774mil","2052.401mil","2774mil","2052.401mil","2742.504mil","2052.401mil","T","0.00","4K7"
"R24","RESC0603-01","1647mil","2416.401mil","1647mil","2416.401mil","1678.496mil","2416.401mil","T","180.00","4K7"
"R25","RESC0603-01","1945mil","2448.401mil","1945mil","2448.401mil","1945mil","2416.905mil","T","90.00","4K7"
"R26","RESC0603-01","2010mil","2448.401mil","2010mil","2448.401mil","2010mil","2416.905mil","T","90.00","4K7"
"R27","RESC0603-01","2774mil","2118.401mil","2774mil","2118.401mil","2742.504mil","2118.401mil","T","0.00","4K7"
"R28","RESC0603-01","2652mil","2051.401mil","2652mil","2051.401mil","2620.504mil","2051.401mil","T","0.00","4K7"
"5V","TP_A_-_RED","314mil","2729mil","314mil","2729mil","314mil","2729mil","T","90.00","Test Point"
"U1","RENESAS_PLQP0064KB-A_N","1523mil","1865.401mil","1523mil","1865.401mil","1741.504mil","1717.763mil","T","180.00","RA2L1-LQFP64"
"X1","OSC_5032","2023mil","2059.401mil","2023mil","2059.401mil","2023mil","1986.567mil","T","90.00","20MHz"
"C1","CAPC0603-01","3100mil","2365.401mil","3100mil","2365.401mil","3068.504mil","2365.401mil","T","0.00","0.1uF"
"C2","CAPC0603-01","3100mil","2430.401mil","3100mil","2430.401mil","3068.504mil","2430.401mil","T","0.00","10uF"
"C3","CAPC0603-01","3195mil","2399.401mil","3195mil","2399.401mil","3195mil","2430.897mil","T","270.00","10nF"
"C4","CAPC0603-01","2990mil","2240.401mil","2990mil","2240.401mil","2990mil","2271.897mil","T","270.00","10nF"
"C5","CAPC0603-01","3055mil","2240.401mil","3055mil","2240.401mil","3055mil","2271.897mil","T","270.00","10uF"
"C9","CAPC0603-01","1185mil","1885mil","1185mil","1885mil","1153.504mil","1885mil","T","0.00","0.1uF"
"C10","CAPC0603-01","1504mil","2238.401mil","1504mil","2238.401mil","1504mil","2206.905mil","T","90.00","0.1uF"
"C11","CAPC0603-01","1646mil","2340.401mil","1646mil","2340.401mil","1677.496mil","2340.401mil","T","180.00","0.1uF"
"C14","CAPC0603-01","1515mil","1498.897mil","1515mil","1498.897mil","1483.504mil","1498.897mil","T","0.00","0.1uF"
